No.,Course Code,Course Title,Level/Semester,Department,Credit Unit,Lecturer id
11,HIS 1111,History of the Middle East,100 / 2nd,HISTORY,1,ST / HIS / 126
12,HIS 1212,History of Russia,100 / 2nd,HISTORY,2,ST / HIS / 127
13,HIS 1313,Colonial America,200 / 1st,HISTORY,1,ST / HIS / 128
14,HIS 1414,The American Revolution,200 / 1st,HISTORY,4,ST / HIS / 129
15,HIS 1515,The Civil War and Reconstruction,200 / 1st,HISTORY,1,ST / HIS / 130
16,HIS 1616,Twentieth-Century America,200 / 1st,HISTORY,2,ST / HIS / 176
17,HIS 1717,History of the British Empire,200 / 1st,HISTORY,3,ST / HIS / 177
18,HIS 1818,The French Revolution,200 / 1st,HISTORY,3,ST / HIS / 178
19,HIS 1919,World War I,200 / 2nd,HISTORY,4,ST / HIS / 179
20,HIS 2020,World War II,200 / 2nd,HISTORY,2,ST / HIS / 180
21,HIS 2121,History of the Cold War,200 / 2nd,HISTORY,2,ST / HIS / 126
22,HIS 2222,History of Science and Technology,200 / 2nd,HISTORY,4,ST / HIS / 127
23,HIS 2323,Environmental History,200 / 2nd,HISTORY,2,ST / HIS / 128
24,HIS 2424,Women in History,200 / 2nd,HISTORY,4,ST / HIS / 129
25,HIS 2525,History of Slavery,300 / 1st,HISTORY,3,ST / HIS / 130
26,HIS 2626,Indigenous Peoples' History,300 / 1st,HISTORY,1,ST / HIS / 176
27,HIS 2727,Social and Cultural History,300 / 1st,HISTORY,3,ST / HIS / 177
28,HIS 2828,Economic History,300 / 1st,HISTORY,4,ST / HIS / 178
29,HIS 2929,Intellectual History,300 / 1st,HISTORY,3,ST / HIS / 179
30,HIS 3030,History of Religion,300 / 1st,HISTORY,2,ST / HIS / 180
31,HIS 3131,Urban History,300 / 2nd,HISTORY,1,ST / HIS / 126
32,HIS 3232,Public History,300 / 2nd,HISTORY,1,ST / HIS / 127
33,HIS 3333,History of Warfare,300 / 2nd,HISTORY,2,ST / HIS / 128
34,HIS 3434,Diplomatic History,300 / 2nd,HISTORY,4,ST / HIS / 129
35,HIS 3535,History of Medicine,300 / 2nd,HISTORY,3,ST / HIS / 130
36,HIS 3636,History of the Holocaust,300 / 2nd,HISTORY,2,ST / HIS / 176
37,HIS 3737,History of Human Rights,300 / 2nd,HISTORY,3,ST / HIS / 177
38,HIS 3838,History of Immigration,300 / 2nd,HISTORY,2,ST / HIS / 178
39,HIS 3939,History of Education,400 / 1st,HISTORY,4,ST / HIS / 179
40,HIS 4040,Latin American Revolutions,400 / 1st,HISTORY,4,ST / HIS / 180
41,HIS 4141,History of the American West,400 / 1st,HISTORY,3,ST / HIS / 126
42,HIS 4242,The Vietnam War,400 / 1st,HISTORY,4,ST / HIS / 127
43,HIS 4343,Modern African History,400 / 1st,HISTORY,4,ST / HIS / 128
44,HIS 4444,European Intellectual History,400 / 1st,HISTORY,1,ST / HIS / 129
45,HIS 4545,History of South Asia,400 / 2nd,HISTORY,2,ST / HIS / 130
46,HIS 4646,Caribbean History,400 / 2nd,HISTORY,2,ST / HIS / 176
47,HIS 4747,Islamic Civilization,400 / 2nd,HISTORY,4,ST / HIS / 177
48,HIS 4848,The Enlightenment,400 / 2nd,HISTORY,2,ST / HIS / 178
49,HIS 4949,History of Mexico,400 / 2nd,HISTORY,3,ST / HIS / 179
50,HIS 5050,History of Modern Japan,400 / 2nd,HISTORY,1,ST / HIS / 180
1,PSY 101,Introduction to Psychology,100 / 1st,PSYCHOLOGY,2,ST / PSY / 131
2,PSY 202,Developmental Psychology,100 / 1st,PSYCHOLOGY,4,ST / PSY / 132
3,PSY 303,Abnormal Psychology,100 / 1st,PSYCHOLOGY,4,ST / PSY / 133
4,PSY 404,Social Psychology,100 / 1st,PSYCHOLOGY,1,ST / PSY / 134
5,PSY 505,Cognitive Psychology,100 / 1st,PSYCHOLOGY,1,ST / PSY / 135
6,PSY 606,Biological Psychology,100 / 1st,PSYCHOLOGY,2,ST / PSY / 181
7,PSY 707,Personality Psychology,100 / 2nd,PSYCHOLOGY,1,ST / PSY / 182
8,PSY 808,Clinical Psychology,100 / 2nd,PSYCHOLOGY,4,ST / PSY / 183
9,PSY 909,Child Psychology,100 / 2nd,PSYCHOLOGY,2,ST / PSY / 184
10,PSY 1010,Adolescent Psychology,100 / 2nd,PSYCHOLOGY,1,ST / PSY / 185
11,PSY 1111,Psychology of Aging,100 / 2nd,PSYCHOLOGY,1,ST / PSY / 131
12,PSY 1212,Health Psychology,100 / 2nd,PSYCHOLOGY,1,ST / PSY / 132
13,PSY 1313,Forensic Psychology,200 / 1st,PSYCHOLOGY,1,ST / PSY / 133
14,PSY 1414,Industrial-Organizational Psychology,200 / 1st,PSYCHOLOGY,1,ST / PSY / 134
15,PSY 1515,Educational Psychology,200 / 1st,PSYCHOLOGY,1,ST / PSY / 135
16,PSY 1616,Experimental Psychology,200 / 1st,PSYCHOLOGY,2,ST / PSY / 181
17,PSY 1717,Neuropsychology,200 / 1st,PSYCHOLOGY,1,ST / PSY / 182
18,PSY 1818,Psychopathology,200 / 1st,PSYCHOLOGY,1,ST / PSY / 183
19,PSY 1919,Behavioral Neuroscience,200 / 2nd,PSYCHOLOGY,4,ST / PSY / 184
20,PSY 2020,Counseling Psychology,200 / 2nd,PSYCHOLOGY,3,ST / PSY / 185
21,PSY 2121,Environmental Psychology,200 / 2nd,PSYCHOLOGY,1,ST / PSY / 131
22,PSY 2222,Positive Psychology,200 / 2nd,PSYCHOLOGY,4,ST / PSY / 132
23,PSY 2323,Human Sexuality,200 / 2nd,PSYCHOLOGY,1,ST / PSY / 133
24,PSY 2424,Psychological Assessment,200 / 2nd,PSYCHOLOGY,2,ST / PSY / 134
25,PSY 2525,Psychology of Learning,300 / 1st,PSYCHOLOGY,3,ST / PSY / 135
26,PSY 2626,Cross-Cultural Psychology,300 / 1st,PSYCHOLOGY,1,ST / PSY / 181
27,PSY 2727,Sports Psychology,300 / 1st,PSYCHOLOGY,1,ST / PSY / 182
28,PSY 2828,Psychopharmacology,300 / 1st,PSYCHOLOGY,3,ST / PSY / 183
29,PSY 2929,Psychology of Emotions,300 / 1st,PSYCHOLOGY,1,ST / PSY / 184
30,PSY 3030,Motivation and Behavior,300 / 1st,PSYCHOLOGY,4,ST / PSY / 185
31,PSY 3131,Psychological Statistics,300 / 2nd,PSYCHOLOGY,4,ST / PSY / 131
32,PSY 3232,Research Methods in Psychology,300 / 2nd,PSYCHOLOGY,2,ST / PSY / 132
33,PSY 3333,Psychology of Women,300 / 2nd,PSYCHOLOGY,1,ST / PSY / 133
34,PSY 3434,Cognitive Development,300 / 2nd,PSYCHOLOGY,3,ST / PSY / 134
35,PSY 3535,Sensation and Perception,300 / 2nd,PSYCHOLOGY,3,ST / PSY / 135
36,PSY 3636,Memory and Cognition,300 / 2nd,PSYCHOLOGY,4,ST / PSY / 181
37,PSY 3737,Theories of Personality,300 / 2nd,PSYCHOLOGY,2,ST / PSY / 182
38,PSY 3838,History and Systems of Psychology,300 / 2nd,PSYCHOLOGY,4,ST / PSY / 183
39,PSY 3939,Psychology of Language,400 / 1st,PSYCHOLOGY,4,ST / PSY / 184
40,PSY 4040,Psychotherapy,400 / 1st,PSYCHOLOGY,1,ST / PSY / 185
41,PSY 4141,Psychometrics,400 / 1st,PSYCHOLOGY,1,ST / PSY / 131
42,PSY 4242,Group Dynamics,400 / 1st,PSYCHOLOGY,3,ST / PSY / 132
43,PSY 4343,Human Factors Psychology,400 / 1st,PSYCHOLOGY,3,ST / PSY / 133
44,PSY 4444,Addiction Psychology,400 / 1st,PSYCHOLOGY,3,ST / PSY / 134
45,PSY 4545,Family Psychology,400 / 2nd,PSYCHOLOGY,2,ST / PSY / 135
46,PSY 4646,Media Psychology,400 / 2nd,PSYCHOLOGY,3,ST / PSY / 181
47,PSY 4747,Consumer Psychology,400 / 2nd,PSYCHOLOGY,1,ST / PSY / 182
48,PSY 4848,Psychology of Prejudice,400 / 2nd,PSYCHOLOGY,4,ST / PSY / 183
49,PSY 4949,Psychological Ethics,400 / 2nd,PSYCHOLOGY,1,ST / PSY / 184
50,PSY 5050,Applied Behavior Analysis,400 / 2nd,PSYCHOLOGY,4,ST / PSY / 185
1,COM 101,Introduction to Computer Science,100 / 1st,COMPUTER SCIENCE,1,ST / COM / 136
2,COM 202,Programming Fundamentals,100 / 1st,COMPUTER SCIENCE,4,ST / COM / 137
3,COM 303,Data Structures and Algorithms,100 / 1st,COMPUTER SCIENCE,1,ST / COM / 138
4,COM 404,Object-Oriented Programming,100 / 1st,COMPUTER SCIENCE,4,ST / COM / 139
5,COM 505,Computer Organization and Architecture,100 / 1st,COMPUTER SCIENCE,1,ST / COM / 140
6,COM 606,Operating Systems,100 / 1st,COMPUTER SCIENCE,2,ST / COM / 186
7,COM 707,Database Systems,100 / 2nd,COMPUTER SCIENCE,4,ST / COM / 187
8,COM 808,Software Engineering,100 / 2nd,COMPUTER SCIENCE,2,ST / COM / 188
9,COM 909,Computer Networks,100 / 2nd,COMPUTER SCIENCE,2,ST / COM / 189
10,COM 1010,Theory of Computation,100 / 2nd,COMPUTER SCIENCE,3,ST / COM / 190
11,COM 1111,Artificial Intelligence,100 / 2nd,COMPUTER SCIENCE,2,ST / COM / 136
12,COM 1212,Machine Learning,100 / 2nd,COMPUTER SCIENCE,2,ST / COM / 137
13,COM 1313,Data Mining,200 / 1st,COMPUTER SCIENCE,3,ST / COM / 138
14,COM 1414,Web Development,200 / 1st,COMPUTER SCIENCE,3,ST / COM / 139
15,COM 1515,Mobile Application Development,200 / 1st,COMPUTER SCIENCE,4,ST / COM / 140
16,COM 1616,Cybersecurity,200 / 1st,COMPUTER SCIENCE,1,ST / COM / 186
17,COM 1717,Human-Computer Interaction,200 / 1st,COMPUTER SCIENCE,3,ST / COM / 187
18,COM 1818,Compiler Design,200 / 1st,COMPUTER SCIENCE,2,ST / COM / 188
19,COM 1919,Parallel and Distributed Computing,200 / 2nd,COMPUTER SCIENCE,2,ST / COM / 189
20,COM 2020,Cloud Computing,200 / 2nd,COMPUTER SCIENCE,3,ST / COM / 190
21,COM 2121,Computer Graphics,200 / 2nd,COMPUTER SCIENCE,3,ST / COM / 136
22,COM 2222,Game Development,200 / 2nd,COMPUTER SCIENCE,1,ST / COM / 137
23,MAT 3131,Cryptography,200 / 2nd,COMPUTER SCIENCE,1,ST / COM / 138
24,COM 2424,Natural Language Processing,200 / 2nd,COMPUTER SCIENCE,1,ST / COM / 139
25,COM 2525,Robotics,300 / 1st,COMPUTER SCIENCE,2,ST / COM / 140
26,COM 2626,Computer Vision,300 / 1st,COMPUTER SCIENCE,2,ST / COM / 186
27,COM 2727,Big Data Analytics,300 / 1st,COMPUTER SCIENCE,2,ST / COM / 187
28,COM 2828,Software Testing and Quality Assurance,300 / 1st,COMPUTER SCIENCE,3,ST / COM / 188
29,COM 2929,Embedded Systems,300 / 1st,COMPUTER SCIENCE,1,ST / COM / 189
30,COM 3030,Internet of Things (IoT),300 / 1st,COMPUTER SCIENCE,4,ST / COM / 190
31,COM 3131,Algorithms Design and Analysis,300 / 2nd,COMPUTER SCIENCE,1,ST / COM / 136
32,COM 3232,Information Retrieval,300 / 2nd,COMPUTER SCIENCE,4,ST / COM / 137
33,BIO 2828,Bioinformatics,300 / 2nd,COMPUTER SCIENCE,4,ST / COM / 138
34,COM 3434,Virtual Reality and Augmented Reality,300 / 2nd,COMPUTER SCIENCE,1,ST / COM / 139
35,COM 3535,Quantum Computing,300 / 2nd,COMPUTER SCIENCE,2,ST / COM / 140
36,COM 3636,Network Security,300 / 2nd,COMPUTER SCIENCE,1,ST / COM / 186
37,COM 3737,Ethical Hacking,300 / 2nd,COMPUTER SCIENCE,4,ST / COM / 187
38,COM 3838,Software Project Management,300 / 2nd,COMPUTER SCIENCE,4,ST / COM / 188
39,COM 3939,E-commerce Technologies,400 / 1st,COMPUTER SCIENCE,4,ST / COM / 189
40,COM 4040,Advanced Database Systems,400 / 1st,COMPUTER SCIENCE,1,ST / COM / 190
41,COM 4141,Data Visualization,400 / 1st,COMPUTER SCIENCE,2,ST / COM / 136
42,COM 4242,Functional Programming,400 / 1st,COMPUTER SCIENCE,3,ST / COM / 137
43,COM 4343,Real-Time Systems,400 / 1st,COMPUTER SCIENCE,2,ST / COM / 138
44,COM 4444,Advanced Operating Systems,400 / 1st,COMPUTER SCIENCE,4,ST / COM / 139
45,COM 4545,Digital Forensics,400 / 2nd,COMPUTER SCIENCE,3,ST / COM / 140
46,COM 4646,Knowledge Representation and Reasoning,400 / 2nd,COMPUTER SCIENCE,2,ST / COM / 186
47,COM 4747,Social Network Analysis,400 / 2nd,COMPUTER SCIENCE,3,ST / COM / 187
48,COM 4848,Computational Biology,400 / 2nd,COMPUTER SCIENCE,3,ST / COM / 188
49,COM 4949,Advanced Algorithms,400 / 2nd,COMPUTER SCIENCE,4,ST / COM / 189
50,COM 5050,Introduction to Data Science,400 / 2nd,COMPUTER SCIENCE,4,ST / COM / 190
1,ECO 101,Introduction to Microeconomics,100 / 1st,ECONOMICS,2,ST / ECO / 141
2,ECO 202,Introduction to Macroeconomics,100 / 1st,ECONOMICS,1,ST / ECO / 142
3,ECO 303,Intermediate Microeconomics,100 / 1st,ECONOMICS,2,ST / ECO / 143
4,ECO 404,Intermediate Macroeconomics,100 / 1st,ECONOMICS,1,ST / ECO / 144
5,ECO 505,Econometrics,100 / 1st,ECONOMICS,4,ST / ECO / 145
6,ECO 606,International Economics,100 / 1st,ECONOMICS,1,ST / ECO / 191
7,ECO 707,Development Economics,100 / 2nd,ECONOMICS,3,ST / ECO / 192
8,ECO 808,Labor Economics,100 / 2nd,ECONOMICS,3,ST / ECO / 193
9,ECO 909,Public Economics,100 / 2nd,ECONOMICS,2,ST / ECO / 194
10,ECO 1010,Health Economics,100 / 2nd,ECONOMICS,1,ST / ECO / 195
11,ECO 1111,Environmental Economics,100 / 2nd,ECONOMICS,1,ST / ECO / 141
12,MAT 2525,Game Theory,100 / 2nd,ECONOMICS,1,ST / ECO / 142
13,ECO 1313,Behavioral Economics,200 / 1st,ECONOMICS,2,ST / ECO / 143
14,ECO 1414,Industrial Organization,200 / 1st,ECONOMICS,2,ST / ECO / 144
15,ECO 1515,Financial Economics,200 / 1st,ECONOMICS,3,ST / ECO / 145
16,ECO 1616,Monetary Economics,200 / 1st,ECONOMICS,2,ST / ECO / 191
17,HIS 2828,Economic History,200 / 1st,ECONOMICS,1,ST / ECO / 192
18,ECO 1818,Urban Economics,200 / 1st,ECONOMICS,2,ST / ECO / 193
19,ECO 1919,Regional Economics,200 / 2nd,ECONOMICS,2,ST / ECO / 194
20,ECO 2020,Agricultural Economics,200 / 2nd,ECONOMICS,1,ST / ECO / 195
21,ECO 2121,Political Economy,200 / 2nd,ECONOMICS,4,ST / ECO / 141
22,ECO 2222,Economics of Education,200 / 2nd,ECONOMICS,3,ST / ECO / 142
23,ECO 2323,Economics of Innovation,200 / 2nd,ECONOMICS,2,ST / ECO / 143
24,ECO 2424,International Trade,200 / 2nd,ECONOMICS,4,ST / ECO / 144
25,ECO 2525,International Finance,300 / 1st,ECONOMICS,3,ST / ECO / 145
26,ECO 2626,Cost-Benefit Analysis,300 / 1st,ECONOMICS,3,ST / ECO / 191
27,ECO 2727,Economic Development in Latin America,300 / 1st,ECONOMICS,2,ST / ECO / 192
28,ECO 2828,Economics of Globalization,300 / 1st,ECONOMICS,2,ST / ECO / 193
29,ECO 2929,Energy Economics,300 / 1st,ECONOMICS,2,ST / ECO / 194
30,ECO 3030,Economics of Inequality,300 / 1st,ECONOMICS,4,ST / ECO / 195
31,ECO 3131,Economics of Migration,300 / 2nd,ECONOMICS,4,ST / ECO / 141
32,ECO 3232,Economics of Poverty,300 / 2nd,ECONOMICS,4,ST / ECO / 142
33,ECO 3333,Economics of Social Policy,300 / 2nd,ECONOMICS,3,ST / ECO / 143
34,ECO 3434,Advanced Microeconomic Theory,300 / 2nd,ECONOMICS,1,ST / ECO / 144
35,ECO 3535,Advanced Macroeconomic Theory,300 / 2nd,ECONOMICS,2,ST / ECO / 145
36,MAT 4646,Time Series Analysis,300 / 2nd,ECONOMICS,4,ST / ECO / 191
37,ECO 3737,Applied Econometrics,300 / 2nd,ECONOMICS,3,ST / ECO / 192
38,ECO 3838,Experimental Economics,300 / 2nd,ECONOMICS,4,ST / ECO / 193
39,ECO 3939,Housing Economics,400 / 1st,ECONOMICS,3,ST / ECO / 194
40,ECO 4040,Law and Economics,400 / 1st,ECONOMICS,1,ST / ECO / 195
41,ECO 4141,Public Finance,400 / 1st,ECONOMICS,1,ST / ECO / 141
42,ECO 4242,Comparative Economic Systems,400 / 1st,ECONOMICS,2,ST / ECO / 142
43,ECO 4343,Welfare Economics,400 / 1st,ECONOMICS,3,ST / ECO / 143
44,ECO 4444,Economics of Risk and Uncertainty,400 / 1st,ECONOMICS,2,ST / ECO / 144
45,ECO 4545,Economics of Natural Resources,400 / 2nd,ECONOMICS,4,ST / ECO / 145
46,ECO 4646,Microeconomic Policy Analysis,400 / 2nd,ECONOMICS,1,ST / ECO / 191
47,ECO 4747,Macroeconomic Policy Analysis,400 / 2nd,ECONOMICS,3,ST / ECO / 192
48,ECO 4848,History of Economic Thought,400 / 2nd,ECONOMICS,3,ST / ECO / 193
49,ECO 4949,Transportation Economics,400 / 2nd,ECONOMICS,2,ST / ECO / 194
50,ECO 5050,Sports Economics,400 / 2nd,ECONOMICS,1,ST / ECO / 195
1,POL 101,Introduction to Political Science,100 / 1st,POLITICAL SCIENCE,1,ST / POL / 146
2,POL 202,Comparative Politics,100 / 1st,POLITICAL SCIENCE,1,ST / POL / 147
3,POL 303,International Relations,100 / 1st,POLITICAL SCIENCE,2,ST / POL / 148
4,POL 404,American Government and Politics,100 / 1st,POLITICAL SCIENCE,3,ST / POL / 149
5,POL 505,Political Theory,100 / 1st,POLITICAL SCIENCE,3,ST / POL / 150
6,POL 606,Public Policy,100 / 1st,POLITICAL SCIENCE,1,ST / POL / 196
7,POL 707,International Organizations,100 / 2nd,POLITICAL SCIENCE,2,ST / POL / 197
8,ECO 2121,Political Economy,100 / 2nd,POLITICAL SCIENCE,1,ST / POL / 198
9,POL 909,Research Methods in Political Science,100 / 2nd,POLITICAL SCIENCE,1,ST / POL / 199
10,POL 1010,Political Philosophy,100 / 2nd,POLITICAL SCIENCE,2,ST / POL / 200
11,POL 1111,Environmental Politics,100 / 2nd,POLITICAL SCIENCE,4,ST / POL / 146
12,POL 1212,Political Sociology,100 / 2nd,POLITICAL SCIENCE,2,ST / POL / 147
13,POL 1313,Constitutional Law,200 / 1st,POLITICAL SCIENCE,3,ST / POL / 148
14,POL 1414,Public Administration,200 / 1st,POLITICAL SCIENCE,4,ST / POL / 149
15,POL 1515,Gender and Politics,200 / 1st,POLITICAL SCIENCE,1,ST / POL / 150
16,POL 1616,Political Campaigns and Elections,200 / 1st,POLITICAL SCIENCE,4,ST / POL / 196
17,POL 1717,Human Rights and International Law,200 / 1st,POLITICAL SCIENCE,1,ST / POL / 197
18,POL 1818,National Security and Defense,200 / 1st,POLITICAL SCIENCE,3,ST / POL / 198
19,POL 1919,U.S. Foreign Policy,200 / 2nd,POLITICAL SCIENCE,3,ST / POL / 199
20,POL 2020,Comparative Political Institutions,200 / 2nd,POLITICAL SCIENCE,4,ST / POL / 200
21,POL 2121,Political Ideologies,200 / 2nd,POLITICAL SCIENCE,3,ST / POL / 146
22,POL 2222,State and Local Government,200 / 2nd,POLITICAL SCIENCE,2,ST / POL / 147
23,POL 2323,Middle Eastern Politics,200 / 2nd,POLITICAL SCIENCE,4,ST / POL / 148
24,POL 2424,Latin American Politics,200 / 2nd,POLITICAL SCIENCE,3,ST / POL / 149
25,POL 2525,Asian Politics,300 / 1st,POLITICAL SCIENCE,1,ST / POL / 150
26,POL 2626,African Politics,300 / 1st,POLITICAL SCIENCE,3,ST / POL / 196
27,POL 2727,European Politics,300 / 1st,POLITICAL SCIENCE,2,ST / POL / 197
28,POL 2828,International Conflict and Cooperation,300 / 1st,POLITICAL SCIENCE,3,ST / POL / 198
29,POL 2929,Political Behavior,300 / 1st,POLITICAL SCIENCE,1,ST / POL / 199
30,POL 3030,Urban Politics,300 / 1st,POLITICAL SCIENCE,4,ST / POL / 200
31,POL 3131,Political Communication,300 / 2nd,POLITICAL SCIENCE,2,ST / POL / 146
32,POL 3232,Political Psychology,300 / 2nd,POLITICAL SCIENCE,1,ST / POL / 147
33,POL 3333,Policy Analysis,300 / 2nd,POLITICAL SCIENCE,3,ST / POL / 148
34,POL 3434,Comparative Public Policy,300 / 2nd,POLITICAL SCIENCE,4,ST / POL / 149
35,POL 3535,Democracy and Democratization,300 / 2nd,POLITICAL SCIENCE,3,ST / POL / 150
36,POL 3636,International Political Economy,300 / 2nd,POLITICAL SCIENCE,1,ST / POL / 196
37,POL 3737,Political Corruption,300 / 2nd,POLITICAL SCIENCE,1,ST / POL / 197
38,POL 3838,Global Governance,300 / 2nd,POLITICAL SCIENCE,4,ST / POL / 198
39,POL 3939,Theories of International Relations,400 / 1st,POLITICAL SCIENCE,2,ST / POL / 199
40,POL 4040,Law and Politics,400 / 1st,POLITICAL SCIENCE,3,ST / POL / 200
41,POL 4141,Political Activism and Movements,400 / 1st,POLITICAL SCIENCE,1,ST / POL / 146
42,POL 4242,Comparative Foreign Policy,400 / 1st,POLITICAL SCIENCE,3,ST / POL / 147
43,POL 4343,Political Ethics,400 / 1st,POLITICAL SCIENCE,2,ST / POL / 148
44,POL 4444,European Union Politics,400 / 1st,POLITICAL SCIENCE,4,ST / POL / 149
45,POL 4545,Security Studies,400 / 2nd,POLITICAL SCIENCE,3,ST / POL / 150
46,POL 4646,International Development,400 / 2nd,POLITICAL SCIENCE,3,ST / POL / 196
47,POL 4747,International Human Rights,400 / 2nd,POLITICAL SCIENCE,3,ST / POL / 197
48,POL 4848,Race and Politics,400 / 2nd,POLITICAL SCIENCE,1,ST / POL / 198
49,POL 4949,The Politics of Globalization,400 / 2nd,POLITICAL SCIENCE,4,ST / POL / 199
50,POL 5050,Political Economy of Development,400 / 2nd,POLITICAL SCIENCE,2,ST / POL / 200
